Index,Content,Label
11,"['nicuşor', 'procese', 'an', 'printre', 'litigii', 'mize', 'zeci', 'milioane', 'euro', 'general', 'afirmă', 'confruntă', 'aproximativ', 'procese', 'instanţă', 'anual', 'estimând', 'municipalitatea', 'implicată', 'prezent', 'întrun', 'număr', 'procese', 'cuprins', 'între', 'edilul', 'arată', 'procese', 'mize', 'uriaşe', 'dan', 'vorbeşte', 'costurile', 'acestor', 'demersuri', 'făcute', 'instanţele', 'judecată', 'scrie', 'nr', 'procese', 'an', 'diferite', 'teme', 'dreptul', 'proprietăţii', 'amenzi', 'aşanumitele', 'uzucapiuni', 'teme', 'procese', 'an', 'probabil', 'rol', 'între', 'mii', 'afirmat', 'joi', 'seară', 'conform']",
12,"['kelemen', 'asumăm', 'răspunderea', 'maghiar', 'iunie', 'decide', 'arăta', 'următorul', 'deceniu', 'declarat', 'joi', 'seara', 'eveniment', 'lansare', 'campaniei', 'electorale', 'formaţiunea', 'reprezintă', 'şia', 'asumat', 'răspunderea', 'maghiar', 'punctând', 'faptul', 'alegerile', 'iunie', 'decide', 'arăta', 'următorul', 'deceniu', 'scrie', 'iunie', 'loc', 'alegeri', 'alegeri', 'locale', 'europarlamentare', 'miza', 'alegerilor', 'iunie', 'mare', 'decât', 'mare', 'decât', 'puse', 'laolaltă', 'iunie', 'defineşte', 'alegerile', 'decembrie', 'iunie', 'decide', 'arăta', 'următorul', 'deceniu', 'dragi', 'prieteni', 'neam', 'asumat', 'răspunderea', 'comunitatea', 'neam', 'asumat', 'răspunderea', 'maghiarii', 'comunitatea', 'maghiară', 'neam', 'asumat', 'răspunderea', 'maghiar', 'indiferent', 'regiune', 'trăieşte', 'afirmat', 'potrivit', 'traducerii', 'oficiale']",
13,"['ludovic', 'păcate', 'astăzi', 'democraţie', 'autentică', 'nucleul', 'vorbit', 'libertate', 'democraţie', 'autentică', 'discursul', 'susţinut', 'mitingul', 'afirmat', 'învins', 'deplin', 'nucleul', 'jurul', 'căruia', 'coagula', 'oamenii', 'trăiască', 'liber', 'democraţie', 'autentică', 'jupâni', 'calce', 'gât', 'susţinut', 'oraş', 'devenit', 'liber', 'timişoara', 'judeţul', 'trebuie', 'rămână', 'garantat', 'libere', 'libere', 'înseamnă', 'mecanismele', 'control', 'antidemocratice', 'folosite', 'formaţiuni', 'astăzi', 'îşi', 'închipuie', 'întreaga', 'ţară', 'începem', 'campanie', 'trebuit', 'campanie', 'alegere', 'reprezentanţilor', 'lună', 'jumate', 'vorbeşte', 'alegerile', 'trebuie', 'facă', 'reprezentanţii', 'vorbeşte', 'absolut', 'provocările', 'ţară', 'cadrul', 'putem', 'fructificăm', 'bine', 'oportunităţile', 'stat', 'membru', 'vorbeşte', 'locale', 'candidează', 'candidează', 'felul', 'probleme', 'administrative', 'dezbaterea', 'marile', 'probleme', 'europene', 'ales', 'dezbaterea', 'privitoare', 'evoluţia', 'stat', 'membru', 'există', 'sigur', 'există', 'panouri', 'sper', 'dispară', 'vorbeşte', 'aduce', 'bani', 'europeni', 'aduce', 'bani', 'europeni', 'banii', 'europeni', 'vin', 'stat', 'membru', 'aduce', 'niciun', 'ban', 'european', 'împiedică', 'mulţime', 'bani', 'europeni', 'ajungă', 'declarat', 'joi', 'seară']",
14,"['nicușor', 'făcut', 'calcul', 'matematic', 'precis', 'apa', 'caldă', 'dispărea', 'fix', 'ani', 'primarul', 'general', 'afirmă', 'întrun', 'ritm', 'reabilitare', 'reţelei', 'principale', 'termoficare', 'kilometri', 'conductă', 'principală', 'an', 'următorii', 'ani', 'principalele', 'probleme', 'priveşte', 'asigurarea', 'căldurii', 'apei', 'calde', 'reţeaua', 'centralizată', 'oraş', 'rezolvate', 'edilul', 'invocă', 'sondaje', 'opinie', 'arată', 'urmă', 'ani', 'principala', 'problemă', 'reclamtă', 'debucureşteniera', 'căldura', 'acum', 'situează', 'locul', 'patrulea', 'rezolvă', 'administraţia', 'precedentă', 'medie', 'kilometri', 'an', 'ani', 'anul', 'kilometri', 'conductă', 'reabilitaţi', 'nr', 'şantiere', 'mari', 'deschise', 'vorbesc', 'reţea', 'principală', 'acolo', 'problemă', 'afirmat', 'joi', 'seară']",
15,"['the', 'orientare', 'dură', 'pare', 'puternică', 'întrun', 'an', 'alegeri', 'aşteaptă', 'bun', 'rezultat', 'clar', 'majoritatea', 'naţionaliştilor', 'populişti', 'cred', 'vreodată', 'măreaţă', 'sloganul', 'şepcile', 'baseball', 'purtate', 'conferinţă', 'internaţională', 'dreapta', 'orientare', 'dură', 'organizată', 'sfârşitul', 'lunii', 'aprilie', 'partidul', 'naţionalist', 'antiimigraţie', 'ţară', 'arată', 'articol', 'publicat', 'revista', 'vorbitorii', 'denunţat', 'invadarea', 'musulmani', 'migranţii', 'ilegali', 'existat', 'aplauze', 'prelungite', 'când', 'menţionat', 'numele', 'când', 'vorbitorii', 'denunţat', 'ideologia', 'homosexuală', 'trans', 'birocraţii']",
16,"['cristian', 'direct', 'platou', 'iubesc', 'crește', 'tăvălească', 'show', 'cristian', 'intrat', 'direct', 'neașteptat', 'timp', 'platou', 'aflau', 'și', 'moderatorul', 'comentat', 'ironic', 'faptul', 'vrea', 'continuare', 'și', 'conduse', 'și', 'respectiv', 'intervenit', 'cunoscuto', 'niciodată', 'doamna', 'spun', 'iubesc', 'trăit', 'vremea', 'leagănele', 'erau', 'ruginite', 'vremea', 'și', 'doresc', 'pedeapsă', 'bucureșteni', 'și', 'doresc', 'viitorul', 'postări', 'mau', 'inspirat', 'vorbesc', 'și', 'teaș', 'ruga', 'intervii', 'dimineața', 'prânz', 'și', 'seara', 'crește', 'iubesc', 'tăvălească', 'dimineața', 'prânz', 'și', 'seara', 'simțul', 'realității', 'spus', 'direct']",
17,"['nicușor', 'dezlănțuit', 'finanțele', 'datorii', 'general', 'susţine', 'afirmat', 'niciodată', 'datorii', 'datorii', 'curente', 'permită', 'creditorilor', 'blocheze', 'conturile', 'edilul', 'explică', 'faptul', 'gradul', 'îndatorare', 'municipiului', 'mic', 'zece', 'mic', 'decât', 'altor', 'mari', 'oraşe', 'europene', 'facem', 'diferenţa', 'spus', 'niciodată', 'datorii', 'datorii', 'rest', 'lumea', 'datorii', 'bine', 'pui', 'banii', 'dezvoltare', 'spus', 'datorii', 'curente', 'adică', 'erau', 'milioane', 'firma', 'nea', 'făcut', 'autobuzele', 'spus', 'sfârşitul', 'anului', 'există', 'persoană', 'fizică', 'juridică', 'poată', 'vină', 'poprească', 'conturi', 'nr', 'aşa', 'început', 'mandat', 'erau', 'miliarde', 'lei', 'afirmat', 'joi', 'seară']",
18,"['anunț', 'ultimă', 'oră', 'fermierii', 'începe', 'plata', 'subvenției', 'euro', 'anunță', 'începe', 'plata', 'subvenției', 'euro', 'pentrufermieri', 'vedere', 'suplimentare', 'bugetului', 'plățile', 'începe', 'demara', 'perioada', 'următoare', 'plata', 'subvenției', 'eurohectar', 'ajutorul', 'sectorul', 'vegetal', 'cadrul', 'criză', 'respectiv', 'euroechivalent', 'sectoarele', 'suin', 'și', 'avicol', 'capacitatea', 'producție', 'condiții', 'minime', 'bunăstare', 'deținută', 'beneficiar', 'ministrul', 'stabilit', 'echipa', 'conducere', 'și', 'și', 'ținta', 'începe', 'plăți', 'data']",
19,"['alianța', 'miting', 'eșuat', 'și', 'eveniment', 'sala', 'goală', 'electorală', 'început', 'eșec', 'major', 'mitingul', 'organizat', 'ocazia', 'fiasco', 'total', 'departe', 'își', 'doreau', 'liderii', 'partide', 'fac', 'parte', 'și', 'sala', 'locul', 'desfășurat', 'evenimentul', 'jumătate', 'goală', 'organizatorii', 'nereușind', 'găsească', 'și', 'aducă', 'oameni', 'umple', 'amfiteatrul']",
20,"['nicolae', 'explică', 'alianța', 'glorios', 'prevăzut', 'declarat', 'joi', 'puternică', 'forţă', 'politică', 'liderul', 'liberalilor', 'amintit', 'vorbele', 'vizionari', 'lideri', 'anul', 'spus', 'juca', 'rol', 'important', 'decât', 'trecutul', 'glorios', 'puternică', 'forţă', 'politică', 'crezut', 'vreţi', 'spuneţi', 'dublaţi', 'scorul', 'dăm', 'voie', 'ziua', 'dublă', 'semnificaţie', 'desigur', 'ziua', 'începem', 'campania', 'electorală', 'ziua', 'duce', 'gândul', 'vizionari', 'lideri', 'ianuarie', 'înainte', 'arestat', 'regimul', 'comunist', 'arestat', 'moarea', 'treipatru', 'luni', 'închisoare', 'scria', 'felul', 'următor', 'luminată', 'ţară', 'estul', 'juca', 'rol', 'important', 'relaţiile', 'internaţionale', 'economice', 'politice', 'ţară', 'spunea', 'plan', 'intern', 'trebuie', 'chezăşuiască', 'libertatea', 'individuală', 'iniţiativa', 'particulară', 'domeniile', 'referinduse', 'zis', 'juca', 'rol', 'important', 'decât', 'trecutul', 'glorios', 'viitorul', 'prevăzut', 'afirmat', 'joi', 'evenimentul', 'lansare', 'candidaţilor', 'judeţul', 'alegerile', 'locale']",
21,"['george', 'blocat', 'nivelul', 'administrației', 'locale', 'declarat', 'discuție', 'avută', 'liderul', 'hotărât', 'revină', 'administrația', 'publică', 'și', 'candideze', 'precizând', 'orașul', 'dezastru', 'dezastru', 'blocaj', 'amatorism', 'ani', 'zile', 'jaf', 'banul', 'public', 'bătaie', 'joc', 'adresa', 'brașovenilor', 'domnul', 'stârnit', 'starea', 'acum', 'câteva', 'luni', 'gândeam', 'candidez', 'discutat', 'câteva', 'convins', 'trebuie', 'revin', 'înseamnă', 'administrația', 'publică', 'locală', 'și', 'candidez', 'partea', 'mulțumesc', 'făcut', 'fac', 'lucru', 'declarat']",
22,"['marcel', 'întâlnit', 'sute', 'membri', 'european', 'partid', 'european', 'partid', 'mesajul', 'clar', 'transmis', 'liderul', 'întâlnire', 'membri', 'partidul', 'european', 'partid', 'și', 'singurul', 'interiorul', 'structură', 'responsabilă', 'dezbaterile', 'și', 'temele', 'europene', 'transmite']",
23,"['jill', 'transmis', 'mesaj', 'special', 'vizita', 'uita', 'niciodată', 'minunat', 'postat', 'soția', 'președintelui', 'american', 'minunat', 'urmă', 'ani', 'primit', 'amabilitate', 'scris', 'uita', 'niciodată', 'când', 'văzut', 'și', 'poporul', 'român', 'vați', 'deschis', 'brațele', 'refugiații', 'fugeau', 'și', 'încă', 'adevărat', 'inspirațional', 'adăugat']",
24,"['ministrul', 'discuții', 'pensionarii', 'militari', 'protesta', 'stradă', 'ministrul', 'apărării', 'naționale', 'întâlnit', 'joi', 'sediul', 'reprezentanți', 'conducerii', 'structuri', 'asociative', 'personalului', 'militar', 'rezervă', 'și', 'retragere', 'discuții', 'prezenți', 'șeful', 'general', 'secretarul', 'stat', 'relația', 'și', 'calitatea', 'vieții', 'personalului', 'precum', 'și', 'șefi', 'structuri', 'centrale', 'discuțiile', 'abordat', 'principalele', 'preocupări', 'și', 'subiecte', 'interes', 'pentrurezerviștiimilitari', 'referitoare', 'corelarea', 'componentei', 'corespunzătoare', 'soldei', 'grad', 'pensia', 'militară', 'solda', 'grad', 'militarilor', 'activitate', 'modul', 'stabilire', 'impozitului', 'lunar', 'pensiile', 'militare', 'stat', 'situația', 'ajutoarelor', 'stabilite', 'trecerea', 'rezervă', 'direct', 'retragere', 'conform', 'prevederilor', 'nr', 'privind', 'salarizarea', 'unitară', 'personalului', 'plătit', 'fonduri', 'publice', 'soluțiile', 'creșterea', 'calității', 'asistenței', 'medicale', 'personalul', 'militar', 'rezervă', 'și', 'retragere', 'și', 'membrilor', 'familiilor', 'acestora', 'precum', 'și', 'modalitățile', 'îmbunătățire', 'dialogului', 'între', 'instituția', 'militară', 'și', 'structurile', 'asociative', 'rezerviștilor']",
25,"['mesaj', 'transmis', 'președintele', 'întânirea', 'avuto', 'transmis', 'întâlnirea', 'președintele', 'cadrul', 'aprecierea', 'atenția', 'arătată', 'legislativul', 'american', 'cooperarea', 'și', 'state', 'europene', 'promovarea', 'prosperității', 'euroatlantice', 'ocazia', 'vizitei', 'lucru', 'întâlnit', 'joi', 'c', 'cadrul']",
26,"['geoană', 'vrea', 'prezidențiale', 'mesaj', 'clar', 'interesat', 'niciun', 'portofel', 'european', 'secretarul', 'general', 'adjunct', 'afirmă', 'interesat', 'niciun', 'portofel', 'nivel', 'european', 'altă', 'funcţie', 'nivel', 'internaţional', 'interesat', 'înapoi', 'ţării', 'întro', 'formă', 'oferit', 'afirmă', 'precizând', 'trebuie', 'neapărat', 'preşedintele', 'poţi', 'contribui', 'scrie', 'replica', 'vine', 'preşedintele', 'premierul', 'pronunţat', 'portofelu', 'loc', 'portofoliu', 'referinduse', 'funcţia', 'comisar', 'european', 'apărare', 'puteao', 'negocia', 'statul', 'nivel', 'european', 'liderul', 'răspunzând', 'ironic', 'când', 'întrebat', 'putea', 'opţiune', 'luată', 'considerare', 'poziţie']",
27,"['breaking', 'birourile', 'electorale', 'desființate', 'câteva', 'ore', 'înainte', 'debutul', 'campaniei', 'desfiinţat', 'printro', 'hotărâre', 'definitivă', 'birourile', 'electorale', 'judeţul', 'câteva', 'ore', 'înaintea', 'startului', 'campaniei', 'electorale', 'autorităţile', 'aşteaptă', 'clarificări', 'şti', 'organiza', 'tragere', 'sorţi', 'desemnarea', 'preşedinţi', 'locţiitori', 'birourilor', 'electorale', 'judeţ', 'reconstituirea', 'acestora', 'trebuie', 'aştepte', 'conform', 'legii', 'încă', 'zile', 'dea', 'doua', 'tragere', 'sorţi', 'preşedinţilor', 'locţiitorilor', 'birourilor', 'electorale', 'judeţul', 'anulată', 'tragere', 'sorţi', 'anulată', 'dea', 'doua', 'tragere', 'sorţi', 'contestată', 'instanţă', 'fiind', 'anulată', 'primă', 'fază', 'judecătorii', 'joi', 'respins', 'recursul', 'formulat', 'decizia', 'decizia', 'rămânând', 'definitivă']",
28,"['marcel', 'anunțat', 'mandatul', 'premier', 'apropie', 'sfârșit', 'schimb', 'curând', 'premierul', 'declarat', 'joi', 'primminiştrii', 'schimbă', 'zecelea', 'serie', 'schimb', 'curând', 'fiindcă', 'mandatul', 'sfârşitul', 'anului', 'spus', 'şeful', 'precizând', 'implementa', 'stabilă', 'structură', 'administraţiei', 'româneşti', 'administraţia', 'locală', 'primarii', 'preşedinţii', 'mandat', 'stabil', 'ani', 'implementa', 'stabilă', 'structură', 'administraţiei', 'româneşti', 'administraţia', 'locală', 'primari', 'preşedinţii', 'stabili', 'ani', 'primminiştrii', 'văzut', 'schimbă', 'an', 'zecelea', 'serie', 'primminiştri', 'schimb', 'curând', 'fiindcă', 'mandatul', 'sfârşitul', 'anului', 'declarat', 'premierul', 'europene']",
29,"['guvernul', 'aprobat', 'participarea', 'privind', 'evaluarea', 'competenţelor', 'adulţilor', 'aprobat', 'şedinţa', 'joi', 'memorandum', 'privind', 'participarea', 'evaluare', 'internaţională', 'competenţelor', 'adulţilor', 'anunţat']",
30,"['românia', 'intră', 'oficial', 'campania', 'electorală', 'alegerile', 'locale', 'și', 'europarlamentare', 'electorală', 'pentrualegerile', 'localeșieuroparlamentaredin', 'iunie', 'începe', 'vineri', 'și', 'încheia', 'iunie', 'ora', 'candidaţii', 'partidele', 'iau', 'propus', 'nevoiți', 'respecte', 'reguli', 'stricte', 'conform', 'an', 'alegerile', 'loc', 'același', 'an', 'alegerile', 'locale', 'și', 'parlamentare', 'organizează', 'ani', 'timp', 'scrutinele', 'alegerea', 'europarlamentarilor', 'și', 'președintelui', 'loc', 'cinci', 'cinci', 'ani']",
31,"['actele', 'românilor', 'adunate', 'întrun', 'singur', 'buton', 'funcțională', 'începutul', 'și', 'declarat', 'joi', 'încheierea', 'ședinței', 'primele', 'servicii', 'funcționale', 'disponibile', 'începutul', 'anului']",
32,"['românia', 'șansă', 'unică', 'săși', 'mărească', 'influența', 'economică', 'regiune', 'partea', 'transmite', 'joi', 'există', 'tendinţă', 'pozitivă', 'creştere', 'numărului', 'companii', 'înfiinţate', 'numărul', 'mare', 'înmatriculărilor', 'elimină', 'scenariile', 'apocaliptice', 'dispar', 'companii', 'cauza', 'creşterii', 'taxelor', 'crize', 'generale', 'conform', 'studiem', 'demografia', 'raportăm', 'numărul', 'născuţilor', 'numărul', 'aşa', 'aflăm', 'populaţia', 'creşte', 'scade', 'aşa', 'aflăm', 'necesare', 'exemplu', 'politici', 'publice', 'încurajare', 'natalităţii', 'trebui', 'privită', 'viaţa', 'companiilor', 'simpla', 'idee', 'enunţată', 'şiau', 'suspendat', 'activitatea', 'întreprinderi', 'trimestru', 'an', 'suficientă', 'analiză', 'corectă', 'scrie', 'ministrul']",
33,"['circul', 'mutat', 'palat', 'venit', 'cateheză', 'spune', 'cerut', 'bani', 'campanie', 'liderul', 'observat', 'joi', 'intrând', 'înreședința', 'zona', 'imaginile', 'surprinse', 'arată', 'timp', 'pășește', 'curtea', 'proprietății', 'patronului', 'finalul', 'vizitei', 'venit', 'versiuni', 'diferite', 'motivului', 'întâlnirii']",
34,"['s', 'vrea', 'sancționeze', 'funcționarii', 'neperformanți', 'vrea', 'aplice', 'sancțiuni', 'cazul', 'funcționarilor', 'publici', 'lucrează', 'și', 'randament', 'spun', 'joi', 'surse', 'guvernamentale', 'funcționari', 'primesc', 'plus', 'salariu', 'angrenați', 'cioalcu', 'cerut', 'comunice', 'câți', 'oameni', 'lucrează', 'domeniul', 'minister', 'și', 'randamentul', 'făcut', 'primească', 'bonusuri', 'spun', 'sursele', 'citate']",
35,"['geoană', 'șia', 'început', 'dansul', 'prezidențial', 'general', 'adjunct', 'calcul', 'candideze', 'laalegerile', 'prezidențiale', 'șia', 'manifestat', 'joi', 'regretul', 'există', 'discuţie', 'robustă', 'teme', 'europene', 'înaintea', 'alegerilor', 'an', 'spunând', 'ocazie', 'pierdută', 'dezbatere', 'sănătoasă', 'subiecte', 'potrivit', 'decizii', 'motive', 'iau', 'decizii', 'liderii', 'actuali', 'privire', 'calendarul', 'electoral', 'ştiu', 'singur', 'lucru', 'istoria', 'naţiunii', 'ştiu', 'românii', 'româncele', 'ţară', 'diasporă', 'îşi', 'alege', 'liderii', 'buni', 'dea', 'sfârşit', 'ciclu', 'politic', 'lung', 'tonul', 'muzică', 'ciclu', 'politic', 'lung', 'spune', 'singur', 'lucru', 'legat', 'alegeri', 'cred', 'ani', 'când', 'organizăm', 'alegeri', 'libere', 'democratice', 'alegeri', 'importante', 'decât', 'an', 'vorba', 'resincronizarea', 'ciclului', 'politic', 'între', 'mandatul', 'preşedintelui', 'viitorului', 'noilor', 'primari', 'aleşi', 'locali', 'fapt', 'început', 'ciclu', 'istorie', 'începutul', 'ciclu', 'european', 'început', 'ciclu', 'început', 'ciclu', 'geopolitic', 'miza', 'alegerilor', 'uriaşă', 'indiferent', 'persoanele', 'înscrie', 'competiţie', 'fapt', 'acuma', 'alegem', 'preşedinte', 'cinci', 'zece', 'ani', 'zile', 'ani', 'zile', 'primar', 'ani', 'zile', 'fapt', 'modul', 'așezăm', 'destinul', 'acuma', 'influenţa', 'viaţa', 'copiilor', 'nepoţilor', 'următorii', 'ani', 'început', 'ciclu', 'istoric', 'miza', 'acestor', 'alegeri', 'incredibil', 'mare', 'sper', 'singur', 'lucru', 'vină', 'lume', 'vot', 'afirmat']",
36,"['cere', 'retrimită', 'legea', 'ridicat', 'pragul', 'evazioniştii', 'fura', 'liniştiţi', 'mariievazioniştisunt', 'scăpaţi', 'răspundere', 'penală', 'achităprejudiciulde', 'milion', 'euro', 'trebuie', 'vigoare', 'transmis', 'reprezentanţii', 'spun', 'inacceptabil', 'marea', 'evaziune', 'primească', 'undă', 'verde', 'găurile', 'uriaşe', 'produse', 'bugetului', 'stat', 'acoperite', 'contribuabilii', 'cinstiţi', 'taxe', 'impozite', 'majorate', 'cere', 'preşedintelui', 'promulge', 'legea', 'retrimită', 'rediscutată', 'potrivit', 'între', 'zborurile', 'avioane', 'private', 'lux', 'negocierile', 'post', 'nivel', 'european', 'preşedintele', 'găsi', 'timp', 'săşi', 'exercite', 'atribuţiile', 'constituţionale', 'beneficiul', 'ţării', 'încheierea', 'ani', 'mandat', 'lăsa', 'sufocată', 'corupţie', 'cheremul', 'evazioniştilor', 'declarat', 'preşedintele', 'potrivit', 'comunicatului', 'presă', 'partidului']",
37,"['candidatul', 'cere', 'tăierea', 'bani', 'şcoli', 'spitale', '12a', 'oară', 'spun', 'printro', 'şedinţă', 'extraordinară', 'convocată', 'joi', 'primarul', '12a', 'oară', 'rectificarea', 'bugetului', 'aprobat', 'februarie', 'conform', 'sector', 'efectiv', 'prăbuşeşte', 'cetăţenii', 'clădiri', 'risc', 'seismic', 'vrea', 'dărâme', 'bugetul', 'şcoli', 'spitale', 'punând', 'pericol', 'câta', 'oară', 'vieţile', 'cetăţenilor', 'trebui', 'apere', 'atrage', 'bani', 'investiţii', 'îşi', 'bate', 'joc', 'mii', 'copii', 'învaţă', 'şcoli', 'nesigure', 'zeci', 'mii', 'cetăţeni', 'nevoie', 'servicii', 'medicale', 'beneficia', 'condiţii', 'decente', 'doamna', 'capabilă', 'conducă', 'primăria', 'explicat', 'candidatul', 'alianţei', 'afirmat', 'candidatul', 'potrivit', 'sursei', 'citate']",
